Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Charity Care - Amount,Charity Care - Billings,Charity Care - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2016-Q3,,,,944482,5018500,,1392648,11505735,51341934,5254,0,0,3012896,8,0,0,0,0,0,0,0,0,0,0,40045,3542149,,0,0,0
2016-Q2,42091772,,0.178,909547,5109816,,1559892,9189050,51623876,5500,6475,3328,3736455,805,0,0,9967,16,3395,0,5624,98,0,0,-1181728,2796285,,239,6475,5624
2016-Q1,42476277,,0.1772,1114448,6289209,,977057,8966451,50600742,5718,15772,458,2965770,807,0,0,9592,16,13000,0,69,4,0,0,-1680396,1510438,,173,15772,69
2015,179684955,164750925,0.1906,4169438,21880375,4280,7133011,39790356,208763673,21848,114949,7309,11786353,2744,956794,3089,38266,0,44180,0,10634,3263,45043,4,105083,7893601,43392,2357,1572414,51963
2015-Q4,52763607,"38,911,778",0.2488,1379821,7239357,2080,1837128,9876299,51816889,5481,51211,723,2946588,1020,956794,3089,38266,0,44180,0,1799,36,27500,0,-60520,7000138,12465,198,1506256,29299
2015-Q3,42457057,"42,712,015",0.1957,1154997,6059795,985,1842135,10260512,53832698,5448,31397,1893,2894346,778,0,0,0,0,0,0,2677,130,628,1,907722,"3,241,474",11918,1821,31397,3305
2015-Q2,42992227,"43,296,220",0.2062,592671,3109499,779,1897056,9996503,52447549,5582,25581,3948,3158009,939,0,0,0,0,0,0,5606,3097,15966,1,-387403,1680533,5456,280,25581,21572
2015-Q1,41472064,"39,830,912",0.2061,927823,4867909,723,1565865,9657042,50666537,5337,6760,745,2787411,7,0,0,0,0,0,0,552,0,949,2,-354718,-2629263,6607,58,6760,1501
2014,145802744,145949107,0.1656,6904828,41695821,6278,-2275169,0,128328093,1648,47149,4171,10628519,1777,1729120,0,0,0,30012,358,674,110,2039,25,-5173060,-4198023,35037,1040,1776269,49188
2014-Q4,,36487277,,826901,7646236,,,,33971404,,11787,1043,2657130,444,432280,0,0,0,7503,90,169,28,510,6,-1293265,-1049506,8759,260,444067,12297
