Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Financial Assistance - Amount,Financial Assistance - Billings,Financial Assistance - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - NPSR,Unreimbursed Medicaid - Net patient care,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Billings,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,672,,,,,,,6934,,5799,,,,0,,44335,,3008,,2548,,,,,,,,,
2017-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q3,,,,,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q2,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q1,,,,,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,1583864,,1091,,,,,,,24268,,7716,,,,0,,133258,,1518,,3338,,,,,,,,,
2016-Q4,,,,,,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q3,,,,,,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q2,,,,,,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q1,,,,,,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,1884250,,1190,,,,,,,939607,,3423188,,,,26927,,155730,,1913,,218121,,,,,,,,,
2015-Q4,,,,,,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q3,,,,,,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q2,,,,,,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q1,,,,,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,1773951,,1602,,,,,,,1034585,,3467460,,,,93754,,137073,,6258,,276262,,,,,,,,,
2014-Q4,,,,,,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q3,,,,,,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q2,,,,,,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q1,,,,,,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,1051207,,3393230,,,,32032,,151879,,0,,265353,,,,,,,,,
2013-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,770120,,5192997,,,,38439,,100346,,1134,,269070,,,,,,,,,
2012-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
