Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Charity Care - Amount,Charity Care - Billings,Charity Care - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2016-Q3,,,,4168,22503,,,,,,,,,,,,,,,,,,,,,243088,,,,
2016-Q2,,,,3428,19700,,,,,,,,,,,,,,,,,,,,,94221,,,,
2016-Q1,,,,2525,13699,,,,,,,,,,,,,,,,,,,,,378146,,,,
2015,,,0.1911,7360,38500,,,,,,83703,1081,14559,1,0,0,0,0,283952,262,83514,500,330521,0,228958,10251193,15258,12429,83703,414035
2015-Q4,,,,1840,9625,,,,,,77707,381,0,0,0,0,0,0,78952,70,23514,0,98894,0,57239.5,2562798.25,4370,3174,77707,122408
2015-Q3,,,,1840,9625,,,,,,5996,280,0,0,0,0,0,0,0,61,60000,500,78220,0,57239.5,2562798.25,10888,3359,5996,138220
2015-Q2,,,,1840,9625,,,,,,0,20,0,0,0,0,0,0,0,63,0,0,78515,0,57239.5,2562798.25,0,2283,0,78515
2015-Q1,,,,1840,9625,,,,,,0,400,14559,1,0,0,0,0,205000,68,0,0,74892,0,57239.5,2562798.25,0,3611,0,74892
2014,156154126,16821459,,87600,,,3872251,,,,359115,51948,83254,11,0,0,0,0,35341,1764,0,0,634762,0,778070,280590,0,90698,359115,634762
2014-Q4,,4205365,,21900,,,968063,,,,89779,12987,20814,3,0,0,0,0,8835,441,0,0,158691,0,194518,70148,0,22675,89779,158691
2014-Q3,,4205365,,21900,,,968063,,,,89779,12987,20814,3,0,0,0,0,8835,441,0,0,158691,0,194518,70148,0,22675,89779,158691
2014-Q2,,4205365,,21900,,,968063,,,,89779,12987,20814,3,0,0,0,0,8835,441,0,0,158691,0,194518,70148,0,22675,89779,158691
2014-Q1,,4205365,,21900,,,968063,,,,89779,12987,20814,3,0,0,0,0,8835,441,0,0,158691,0,194518,70148,0,22675,89779,158691
2013,175495784,17209528,,137219,,67,3616378,,,12270,384170,5307,1500,2,0,0,0,0,31488,0,0,0,389315,0,706647,371464,0,4339,384170,379315
2013-Q4,,4302382,,34305,,17,904095,,,3068,96043,1327,375,1,0,0,0,0,7872,0,0,0,97329,0,176662,92866,0,1085,96043,94829
2013-Q3,,4302382,,34305,,17,904095,,,3068,96043,1327,375,1,0,0,0,0,7872,0,0,0,97329,0,176662,92866,0,1085,96043,94829
2013-Q2,,4302382,,34305,,17,904095,,,3068,96043,1327,375,1,0,0,0,0,7872,0,0,0,97329,0,176662,92866,0,1085,96043,94829
2013-Q1,,4302382,,34305,,17,904095,,,3068,96043,1327,375,1,0,0,0,0,7872,0,0,0,97329,0,176662,92866,0,1085,96043,94829
2012,,,,,,,,,,,,,,,,,,,,,,,351886,0,,,,,,
2012-Q4,,,,,,,,,,,,,,,,,,,,,,,87972,0,,,,,,
2012-Q3,,,,,,,,,,,,,,,,,,,,,,,87972,0,,,,,,
2012-Q2,,,,,,,,,,,,,,,,,,,,,,,87972,0,,,,,,
2012-Q1,,,,,,,,,,,,,,,,,,,,,,,87972,0,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
